"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"KSGS","390959100220002","Kansas Geological Survey","10S 27W 20CBC 02","39.166618","-100.366419","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40ft)","Accurate to + or - 1 sec.","2610","1","Feet","NAVD88","Interpolated from Digital Elevation Model.","+/- 5 ft","49","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","179","Sheridan County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=390959100220002"
"KSGS","394612101323501","Kansas Geological Survey","03S 38W 25BBB 01","39.770895","-101.541344","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40ft)","Accurate to + or - 1 sec.","3479","1","Feet","NGVD29","Interpolated from topographic map.","+/- 5 ft","316","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","023","Cheyenne County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=394612101323501"
"KSGS","390341099400601","Kansas Geological Survey","11S 21W 29DDD 01","39.060249","-99.669632","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","2335","1","Feet","NAVD88","Interpolated from topographic map.","+/- 10 ft","140","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","195","Trego County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://geohydro.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=390341099400601"
"KSGS","393104100221201","Kansas Geological Survey","06S 27W 19ADC 01","39.51747","-100.37052","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","2620","1","Feet","NGVD29","Interpolated from topographic map.","+/- 10 ft","139","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","179","Sheridan County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=393104100221201"
"KSGS","394607101495502","Kansas Geological Survey","03S 40W 29ABC 02","39.769043","-101.830954","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","3312","1","Feet","NAVD88","Interpolated from Digital Elevation Model.","+/- 5 ft","24","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","023","Cheyenne County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=394607101495502"
"KSGS","393104100272301","Kansas Geological Survey","06S 28W 21BCD 01","39.518334","-100.456019","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","2757","1","Feet","NAVD88","Interpolated from Digital Elevation Model.","+/- 5 ft","212","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","179","Sheridan County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=393104100272301"
"KSGS","394138101042901","Kansas Geological Survey","04S 33W 19BCB 01","39.692871","-101.073163","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40ft)","Accurate to + or - 1 sec.","3082","1","Feet","NAVD88","Interpolated from Digital Elevation Model.","+/- 5 ft","163","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","153","Rawlins County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","0","No","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=394138101042901"
"KSGS","395548099415301","Kansas Geological Survey","01S 21W 28CCD 01","39.929394","-99.699483","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","2244","1","Feet","NAVD88","Interpolated from topographic map.","+/- 10 ft","150","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","137","Norton County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=395548099415301"
"KSGS","394108099565801","Kansas Geological Survey","04S 23W 19DDB 01","39.686225","-99.949243","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","Accurate to + or - 1 sec.","2449","1","Feet","NAVD88","Interpolated from topographic map.","+/- 10 ft","180","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","137","Norton County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=394108099565801"
"KSGS","394859100155901","Kansas Geological Survey","03S 26W 05CAD 01","39.817269","-100.266585","NAD83","Mapping grade GPS unit (handheld accuracy range 12 to 40ft)","Accurate to + or - 1 sec.","2627","1","Feet","NAVD88","Interpolated from Digital Elevation Model.","+/- 5 ft","220","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","20","Kansas","039","Decatur County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","Kansas Cooperative Water Level Network","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","http://hercules.kgs.ku.edu/geohydro/wizard/wizardwelldetail.cfm?usgs_id=394859100155901"
