AgencyCd,SiteNo,Time,Original Parameter,Original Direction,Original Unit,Original Value,Accuracy Unit,Accuracy Value,Depth to Water Below Land Surface in ft.,Water level in feet relative to NAVD88,Comment,Observation Method,Data Provided by,
KSGS,384838102024201,2011-01-05T09:51:36-06:00,,,Feet,243.37,ft,0.01,243.37,3638,,Steel-tape measurement,KGS
KSGS,384838102024201,2012-01-04T15:43:56-06:00,,,Feet,248.00,ft,0.01,248.00,3633,,Steel-tape measurement,KGS
KSGS,384838102024201,2013-01-04T11:48:42-06:00,,,Feet,252.48,ft,0.01,252.48,3629,,Steel-tape measurement,KGS
KSGS,384838102024201,2014-01-04T08:36:20-06:00,,,Feet,253.04,ft,0.01,253.04,3628,,Steel-tape measurement,KGS
KSGS,384838102024201,2015-01-04T08:22:16-06:00,,,Feet,257.85,ft,0.01,257.85,3623,,Steel-tape measurement,KGS
KSGS,384838102024201,2015-01-04T09:09:25-06:00,,,Feet,257.88,ft,0.01,257.88,3623,,Steel-tape measurement,KGS
KSGS,384838102024201,2016-01-03T09:36:33-06:00,,,Feet,256.65,ft,0.01,256.65,3624,,Steel-tape measurement,KGS
KSGS,384838102024201,2016-02-17T00:00:00-06:00,,,Feet,255.48,ft,Unknown,255.48,3626,,Steel-tape measurement,KGS
KSGS,384838102024201,2017-01-04T11:33:22-06:00,,,Feet,258.73,ft,0.01,258.73,3622,,Steel-tape measurement,KGS
KSGS,384838102024201,2018-01-03T14:47:00-06:00,,,Feet,257.70,ft,0.01,257.70,3623,,Steel-tape measurement,KGS
KSGS,384838102024201,2019-01-03T17:05:00-06:00,,,Feet,259.07,ft,0.01,259.07,3622,,Steel-tape measurement,KGS
KSGS,384838102024201,2020-01-03T15:59:00-06:00,,,Feet,260.08,ft,0.01,260.08,3621,,Steel-tape measurement,KGS
KSGS,384838102024201,2021-01-05T11:19:00-06:00,,,Feet,262.32,ft,0.01,262.32,3619,,Steel-tape measurement,KGS
KSGS,384838102024201,2022-01-04T11:55:00-06:00,,,Feet,266.00,ft,0.01,266.00,3615,,Steel-tape measurement,KGS
KSGS,384838102024201,2022-01-04T17:42:00-06:00,,,Feet,266.00,ft,0.01,266.00,3615,,Steel-tape measurement,KGS
KSGS,382419100452801,2009-01-05T13:50:32-06:00,,,Feet,79.09,ft,0.01,79.09,2897,,Steel-tape measurement,DWR
KSGS,382419100452801,2010-01-04T10:01:56-06:00,,,Feet,72.70,ft,0.01,72.70,2903,,Steel-tape measurement,DWR
KSGS,382419100452801,2011-01-07T15:52:24-06:00,,,Feet,73.19,ft,0.01,73.19,2903,,Steel-tape measurement,DWR
KSGS,382419100452801,2012-01-09T10:30:37-06:00,,,Feet,87.35,ft,0.01,87.35,2889,,Steel-tape measurement,DWR
KSGS,382419100452801,2012-02-22T00:00:00-06:00,,,Feet,74.40,ft,Unknown,74.40,2902,,Steel-tape measurement,KGS
KSGS,382419100452801,2013-01-09T13:23:18-06:00,,,Feet,75.99,ft,0.01,75.99,2900,,Steel-tape measurement,DWR
